FECHA LANCE;LATITUD;LONGITUD;No LANCE;TIPO LANCE;TALLA;
21/03/2005;15;95;43;LANATUN;66;
21/03/2005;15;95;43;LANATUN;68;
21/03/2005;15;95;43;LANATUN;63;
21/03/2005;15;95;43;LANATUN;69;
21/03/2005;15;95;43;LANATUN;71;
21/03/2005;15;95;43;LANATUN;73;
23/03/2005;15;95;46;LANATUN;55;
23/03/2005;15;95;46;LANATUN;80;
23/03/2005;15;95;46;LANATUN;71;
23/03/2005;15;95;46;LANATUN;69;
23/03/2005;15;95;46;LANATUN;54;
23/03/2005;15;95;46;LANATUN;58;
23/03/2005;15;95;46;LANATUN;74;
23/03/2005;15;95;46;LANATUN;118;
23/03/2005;15;95;46;LANATUN;58;
23/03/2005;15;95;46;LANATUN;61;
28/03/2005;15;96;50;LANATUN;68;
28/03/2005;15;96;50;LANATUN;74;
28/03/2005;15;96;50;LANATUN;89;
28/03/2005;15;96;50;LANATUN;81;
28/03/2005;15;96;50;LANATUN;99;
28/03/2005;15;96;50;LANATUN;88;
28/03/2005;15;96;50;LANATUN;77;
28/03/2005;15;96;50;LANATUN;67;
28/03/2005;15;96;50;LANATUN;71;
28/03/2005;15;96;50;LANATUN;92;
28/03/2005;15;96;50;LANATUN;83;
28/03/2005;15;96;50;LANATUN;63;
28/03/2005;15;96;50;LANATUN;60;
28/03/2005;15;96;50;LANATUN;68;
28/03/2005;15;96;50;LANATUN;58;
28/03/2005;15;96;50;LANATUN;64;
29/03/2005;15;97;52;LANATUN;62;
29/03/2005;15;97;52;LANATUN;87;
29/03/2005;15;97;52;LANATUN;93;
29/03/2005;15;97;52;LANATUN;63;
29/03/2005;15;97;52;LANATUN;77;
29/03/2005;15;97;52;LANATUN;65;
29/03/2005;15;97;52;LANATUN;64;
29/03/2005;15;97;52;LANATUN;73;
29/03/2005;15;97;52;LANATUN;65;
29/03/2005;15;97;52;LANATUN;58;
29/03/2005;15;97;52;LANATUN;77;
29/03/2005;15;97;52;LANATUN;79;
29/03/2005;15;97;52;LANATUN;80;
31/03/2005;15;96;55;LANATUN;70;
31/03/2005;15;96;55;LANATUN;65;
31/03/2005;15;96;55;LANATUN;76;
31/03/2005;15;96;55;LANATUN;71;
31/03/2005;15;96;55;LANATUN;92;
31/03/2005;15;96;55;LANATUN;84;
31/03/2005;15;96;55;LANATUN;66;
31/03/2005;15;96;55;LANATUN;78;
31/03/2005;15;96;55;LANATUN;84;
31/03/2005;15;96;55;LANATUN;65;
31/03/2005;15;96;55;LANATUN;67;
31/03/2005;15;96;55;LANATUN;68;
31/03/2005;15;96;55;LANATUN;63;
23/03/2005;15;95;8;LANATUN;68;
23/03/2005;15;95;8;LANATUN;72;
23/03/2005;15;95;8;LANATUN;51;
23/03/2005;15;95;8;LANATUN;64;
23/03/2005;15;95;8;LANATUN;76;
23/03/2005;15;95;8;LANATUN;61;
23/03/2005;15;95;8;LANATUN;48;
23/03/2005;15;95;8;LANATUN;85;
23/03/2005;15;95;8;LANATUN;63;
23/03/2005;15;95;8;LANATUN;67;
23/03/2005;15;95;8;LANATUN;53;
23/03/2005;15;95;8;LANATUN;72;
23/03/2005;15;95;8;LANATUN;59;
23/03/2005;15;95;8;LANATUN;65;
23/03/2005;15;95;8;LANATUN;76;
23/03/2005;15;95;8;LANATUN;57;
23/03/2005;15;95;8;LANATUN;82;
23/03/2005;15;95;8;LANATUN;67;
23/03/2005;15;95;8;LANATUN;75;
23/03/2005;15;95;8;LANATUN;75;
23/03/2005;15;95;8;LANATUN;68;
23/03/2005;15;95;8;LANATUN;77;
23/03/2005;15;95;8;LANATUN;56;
23/03/2005;15;95;8;LANATUN;84;
23/03/2005;15;95;8;LANATUN;96;
23/03/2005;15;95;8;LANATUN;61;
23/03/2005;15;95;8;LANATUN;75;
23/03/2005;15;95;8;LANATUN;57;
23/03/2005;15;95;8;LANATUN;64;
20/03/2005;15;95;4;LANATUN;67;
20/03/2005;15;95;4;LANATUN;82;
20/03/2005;15;95;4;LANATUN;69;
20/03/2005;15;95;4;LANATUN;76;
20/03/2005;15;95;4;LANATUN;74;
20/03/2005;15;95;4;LANATUN;70;
20/03/2005;15;95;4;LANATUN;71;
20/03/2005;15;95;4;LANATUN;67;
20/03/2005;15;95;4;LANATUN;80;
20/03/2005;15;95;4;LANATUN;69;
20/03/2005;15;95;4;LANATUN;65;
20/03/2005;15;95;4;LANATUN;68;
20/03/2005;15;95;4;LANATUN;72;
20/03/2005;15;95;4;LANATUN;71;
20/03/2005;15;95;4;LANATUN;72;
20/03/2005;15;95;4;LANATUN;72;
20/03/2005;15;95;4;LANATUN;76;
20/03/2005;15;95;4;LANATUN;76;
20/03/2005;15;95;4;LANATUN;70;
20/03/2005;15;95;4;LANATUN;72;
20/03/2005;15;95;4;LANATUN;65;
20/03/2005;15;95;4;LANATUN;79;
20/03/2005;15;95;4;LANATUN;75;
20/03/2005;15;95;4;LANATUN;75;
20/03/2005;15;95;4;LANATUN;72;
20/03/2005;15;95;4;LANATUN;72;
20/03/2005;15;95;4;LANATUN;80;
20/03/2005;15;95;4;LANATUN;78;
20/03/2005;15;95;4;LANATUN;72;
20/03/2005;15;95;4;LANATUN;72;
