FECHADMA;LATITUD;LONGITUD;TIPOLANCE;TALLA
26/07/2007;26;114;LANATUN;48
20/07/2007;24;112;LANATUN;48
26/07/2007;26;114;LANATUN;48
26/07/2007;26;114;LANATUN;48
26/07/2007;26;114;LANATUN;48
26/07/2007;26;114;LANATUN;48
26/07/2007;26;114;LANATUN;48
26/07/2007;26;114;LANATUN;48
26/07/2007;26;114;LANATUN;48
26/07/2007;26;114;LANATUN;48
26/07/2007;26;114;LANATUN;48
26/07/2007;26;114;LANATUN;48
26/07/2007;26;114;LANATUN;48
19/08/2007;25;112;LANATUN;48
19/08/2007;25;112;LANATUN;48
16/09/2007;16;117;LANATUN;48
25/10/2007;25;110;LANATUN;48
